ID,Text,Source
18,"Хөдөө аж ахуйн салбарт инноваци нэвтрүүлж, тэжээлийн ургамал тариалалт 3.2 га-гаар нэмэгдлээ.",news.mn
19,"Архангай аймагт ноцтой үер бууж, 312 гаруй гэр барилга усанд автсан. Онцгой байдлын алба ажиллаж бн.",news.mn
20,Чингис хаан олон улсын нисэх онгоцны буудал жилд 1092 сая зорчигч хүлээн авч байна.,ikon.mn
21,Төмөр замын шинэ чиглэл ашиглалтад орсон нь экспортын хүчин чадлыг 18 хувиар нэмэгдүүлэх боломжтой боллоо.,zorig.mn
22,"Тавантолгойн нүүрсний экспортын хэмжээ 20 сая тоннд хүрч, түүхэн дээд амжилт тогтоолоо.",gogo.mn
23,"IT компаниуд олон улсын зах зээлд гарч, програм хангамжийн экспортыг 161 дахин нэмэгдүүлсэн байна.",gogo.mn
24,"Монголын кино үйлдвэрлэл сүүлийн жилүүдэд хөгжиж, олон улсын наадамд шагнал хүртсэн 4916 бүтээл гарлаа.",montsame.mn
25,"Ховд аймагт зургадугаар сард хүчтэй шороон шуурга шуурч, 4074 айлын амьдрал доройтсон.",ikon.mn
26,"Мал аж ахуйн даатгалын шинэ тогтолцоо нэвтэрч, байгалийн гамшгаар хохирсон малчдад нөхөн олговор олгогдож эхэллээ.",eagle.mn
27,"Эмэгтэй бөхчүүд Ази тивийн аварга шалгаруулах тэмцээнд түрүүлж, спортын түүхэнд нэрээ үлдээлээ.",news.mn
28,Монголын блокчэйн стартап компани 2.5 сая долларын хөрөнгө оруулалт татаж чадлаа.,news.mn
29,"Оюутолгой зэс алтны уурхайн газар доорхи олборлолт амжилттай үргэлжилж, эдийн засагт жилд 100 тэрбум долларын орлого авчирна.",unuudur.mn
30,"Улаанбаатар хотын замын түгжрэл улам бүр даамжирч, зорчих хугацаа өдөрт 2094 цаг давж байна.",montsame.mn
31,"Цахим мөнгөний ашиглалт 3220 дахин нэмэгдэж, мобайл банкны гүйлгээний тоо байнга өсчээ.",ikon.mn
32,Төмөр замын шинэ чиглэл ашиглалтад орсон нь экспортын хүчин чадлыг 28 хувиар нэмэгдүүлэх боломжтой боллоо.,ikon.mn
33,"Бэлчээрийн доройтол дээд цэгтээ хүрч, малын тэжээл хомсдож байна. Цаг уурын өөрчлөлт малчдын амьдралд гол нөлөө үзүүлж байна.",zorig.mn
34,"Улаанбаатар хотын замын түгжрэл улам бүр даамжирч, зорчих хугацаа өдөрт 821 цаг давж бн.",ikon.mn
35,"Тавантолгойн нүүрсний экспортын хэмжээ 20 сая тоннд хүрч, түүхэн дээд амжилт тогтоолоо.",zorig.mn
36,"IT компаниуд олон улсын зах зээлд гарч, програм хангамжийн экспортыг 63 дахин нэмэгдүүлсэн бн.",news.mn
37,Монголын анхны хиймэл дагуул хөөргөгдсөн нь сансрын технологийн салбарт түүхэн алхам боллоо.,montsame.mn
38,Төмөр замын шинэ чиглэл ашиглалтад орсон нь экспортын хүчин чадлыг 31 хувиар нэмэгдүүлэх боломжтой боллоо.,montsame.mn
39,"Хөвсгөл нуурын экосистемийг хамгаалах хөтөлбөр хэрэгжиж, биологийн олон янз байдлыг хамгаалахад чухал ач холбогдолтой боллоо.",montsame.mn
40,"Булган аймагт малчин эмэгтэйчүүдийн холбоо байгуулагдаж, 3604 гаруй малчин хамрагдлаа.",eagle.mn
41,Монголын блокчэйн стартап компани 2.5 сая долларын хөрөнгө оруулалт татаж чадлаа.,eagle.mn
42,"Оюутолгой зэс алтны уурхайн газар доорхи олборлолт амжилттай үргэлжилж, эдийн засагт жилд 50 тэрбум долларын орлого авчирна.",gogo.mn
43,"БНСУ-д ажиллаж байгаа Монгол иргэдийн цалин өсч, гэр бүлдээ илгээх мөнгөн гуйвуулга 50 тэрбум төгрөгт хүрлээ.",eagle.mn
44,"Ховд аймагт малчин эмэгтэйчүүдийн холбоо байгуулагдаж, 4350 гаруй малчин хамрагдлаа.",news.mn
45,"Бэлчээрийн доройтол дээд цэгтээ хүрч, малын тэжээл хомсдож байна. Цаг уурын өөрчлөлт малчдын амьдралд гол нөлөө үзүүлж байна.",montsame.mn
46,"Хөдөө аж ахуйн салбарт инноваци нэвтрүүлж, тэжээлийн ургамал тариалалт 20 га-гаар нэмэгдлээ.",news.mn
47,"Төв аймагт сүү боловсруулах шинэ үйлдвэр нээгдэж, орон нутгийн малчдын орлого 44 хувиар өсөх төлөвтэй байна.",unuudur.mn
48,Хөдөө орон нутгийн малчид ноолуурын үнэ унасанд санаа зовж байна. Ноолуурын үнэ 4 хувиар буурсан нь малчдыг хүнд байдалд оруулж байна.,zorig.mn
49,Чингис хаан олон улсын нисэх онгоцны буудал жилд 4918 сая зорчигч хүлээн авч байна.,ikon.mn
50,"БНСУ-д ажиллаж байгаа Монгол иргэдийн цалин өсч, гэр бүлдээ илгээх мөнгөн гуйвуулга 10 тэрбум төгрөгт хүрлээ.",montsame.mn
51,"Өвөрхангай аймагт алт олборлогчид голын усыг бохирдуулж, иргэдийн эрүүл мэндэд хор хөнөөл учруулж байна. Байгаль орчны хяналт сулдсан.",news.mn
52,"Мал аж ахуйн даатгалын шинэ тогтолцоо нэвтэрч, байгалийн гамшгаар хохирсон малчдад нөхөн олговор олгогдож эхэллээ.",news.mn
53,"Цахим мөнгөний ашиглалт 2639 дахин нэмэгдэж, мобайл банкны гүйлгээний тоо байнга өсчээ.",gogo.mn
54,Хөдөө орон нутгийн малчид ноолуурын үнэ унасанд санаа зовж байна. Ноолуурын үнэ 36 хувиар буурсан нь малчдыг хүнд байдалд оруулж байна.,eagle.mn
55,"Архангай аймагт сүү боловсруулах шинэ үйлдвэр нээгдэж, орон нутгийн малчдын орлого 25 хувиар өсөх төлөвтэй байна.",montsame.mn
56,"Эрдэнэт хотод технологийн хотхон нээгдэж, 613 гаруй залуучуудад ажлын байр бий болголоо.",gogo.mn
57,Монголын E-спортын баг Дэлхийн аварга шалгаруулах тэмцээнд шилдэг 470-д шалгарсан байна.,zorig.mn
58,"Мал аж ахуйн даатгалын шинэ тогтолцоо нэвтэрч, байгалийн гамшгаар хохирсон малчдад нөхөн олговор олгогдож эхэллээ.",gogo.mn
59,"Улаанбаатар хотын агаарын бохирдол аюултай түвшинд хүрч, хүүхдийн уушигны өвчлөл 12 хувь нэмэгдсэн бн.",eagle.mn
60,Монголын E-спортын баг Дэлхийн аварга шалгаруулах тэмцээнд шилдэг 3993-д шалгарсан байна.,news.mn
61,"Завхан аймагт зургадугаар сард хүчтэй шороон шуурга шуурч, 2703 айлын амьдрал доройтсон.",ikon.mn
62,"Төв аймагт ноцтой үер бууж, 1311 гаруй гэр барилга усанд автсан. Онцгой байдлын алба ажиллаж байна.",montsame.mn
63,"Хотын нийтийн тээврийн автобусууд цахилгаан автобусаар солигдож, утааны бохирдол багассан бн. 2081 цахилгаан автобус замд гарлаа.",unuudur.mn
64,Цэцэрлэгийн хүчин чадал хүрэлцэхгүй байгаа тул 1290 мянган хүүхэд гэртээ цоожлогдож үлдэж бн.,unuudur.mn
65,Хүний эрхийн комиссын тайланд дурдсанаар хүүхдийн хөдөлмөр эрхлэлт 12 хувиар өссөн байна.,eagle.mn
66,"Мал аж ахуйн даатгалын шинэ тогтолцоо нэвтэрч, байгалийн гамшгаар хохирсон малчдад нөхөн олговор олгогдож эхэллээ.",montsame.mn
67,"Улаанбаатар хотын агаарын бохирдол аюултай түвшинд хүрч, хүүхдийн уушигны өвчлөл 12 хувиар нэмэгдсэн байна.",unuudur.mn
68,"Төв банк инфляцийг 14 хувьд тогтвортой барьж, мөнгөний бодлогоо сайжруулсан нь эерэг үр дүн авчирч байна.",unuudur.mn
69,"Тавантолгойн нүүрсний экспортын хэмжээ 1.5 сая тоннд хүрч, түүхэн дээд амжилт тогтоолоо.",news.mn
70,"Эмэгтэй бөхчүүд Ази тивийн аварга шалгаруулах тэмцээнд түрүүлж, спортын түүхэнд нэрээ үлдээлээ.",news.mn
71,"Оюутолгой зэс алтны уурхайн газар доорхи олборлолт амжилттай үргэлжилж, эдийн засагт жилд 2.5 тэрбум долларын орлого авчирна.",gogo.mn
72,"Монгол Улсын эдийн засаг энэ онд 37 хувиар өсч, Азийн хөгжлийн банк энэ ахиц дэвшлийг өндрөөр үнэлж байна.",zorig.mn
73,Төмөр замын шинэ чиглэл ашиглалтад орсон нь экспортын хүчин чадлыг 45 хувиар нэмэгдүүлэх боломжтой боллоо.,unuudur.mn
74,"Хөвсгөл нуурын экосистемийг хамгаалах хөтөлбөр хэрэгжиж, биологийн олон янз байдлыг хамгаалахад чухал ач холбогдолтой боллоо.",zorig.mn
75,"Монголын кино үйлдвэрлэл сүүлийн жилүүдэд хөгжиж, олон улсын наадамд шагнал хүртсэн 688 бүтээл гарлаа.",montsame.mn
76,"Метроны барилгын ажил албан ёсоор эхэлж, 2030 онд ашиглалтад ороход түгжрэлийг 33 хувиар бууруулна.",zorig.mn
77,"Улаанбаатар хотын агаарын бохирдол аюултай түвшинд хүрч, хүүхдийн уушигны өвчлөл 6 хувиар нэмэгдсэн байна.",unuudur.mn
78,Эрүүл мэндийн даатгалын хамрагдалт 22 хувьд хүрсэн ч эмнэлгийн үйлчилгээний хүртээмж муу байсаар байна.,news.mn
79,"Улаанбаатар хотын замын түгжрэл улам бүр даамжирч, зорчих хугацаа өдөрт 2724 цаг давж бн.",montsame.mn
80,"Хот даяар ногоон байгууламжийн талбай нэмэгдэж, агаарын чанарыг сайжруулахад хувь нэмэр оруулж байна. Мод тарих аян үргэлжилж байна.",ikon.mn
81,"Эрдэнэт хотод технологийн хотхон нээгдэж, 547 гаруй залуучуудад ажлын байр бий болголоо.",news.mn
82,Цэцэрлэгийн хүчин чадал хүрэлцэхгүй байгаа тул 587 мянган хүүхэд гэртээ цоожлогдож үлдэж байна.,ikon.mn
83,"Газрын тосны үнэ дэлхийн зах зээл дээр огцом өсч, дотоодын шатахууны үнэ 45 хувиар нэмэгдлээ. Тээврийн зардал ихэссэн.",news.mn
84,"Метроны барилгын ажил албан ёсоор эхэлж, 2030 онд ашиглалтад ороход түгжрэлийг 36 хувиар бууруулна.",ikon.mn
85,"Завхан аймагт сүү боловсруулах шинэ үйлдвэр нээгдэж, орон нутгийн малчдын орлого 27 хувиар өсөх төлөвтэй байна.",montsame.mn
86,"Хүүхдийн ядуурлын түвшин 25 хувьд хүрч, олон улсын байгууллагууд анхааруулга өгч байна.",news.mn
87,Монголын анхны хиймэл дагуул хөөргөгдсөн нь сансрын технологийн салбарт түүхэн алхам боллоо.,montsame.mn
88,"Бэлчээрийн доройтол дээд цэгтээ хүрч, малын тэжээл хомсдож байна. Цаг уурын өөрчлөлт малчдын амьдралд гол нөлөө үзүүлж байна.",montsame.mn
89,"Уул уурхайн салбарт осол гарч, 1866 ажилтан гэмтсэн байна. Хөдөлмөрийн аюулгүй байдлын стандартыг чангатгах шаардлагатай.",unuudur.mn
90,"Дорноговь аймагт зургадугаар сард хүчтэй шороон шуурга шуурч, 4129 айлын амьдрал доройтсон.",news.mn
91,"Сургуулийн хүчирхийлэл буюу дарамтын тохиолдол 23 хувь нэмэгдэж, эцэг эхчүүдийн санааг зовоож бн.",ikon.mn
92,"Хөдөө аж ахуйн салбарт инноваци нэвтрүүлж, тэжээлийн ургамал тариалалт 3.2 га-гаар нэмэгдлээ.",ikon.mn
93,"Хэнтий аймагт сүү боловсруулах шинэ үйлдвэр нээгдэж, орон нутгийн малчдын орлого 13 хувиар өсөх төлөвтэй байна.",gogo.mn
94,Хөдөө орон нутгийн малчид ноолуурын үнэ унасанд санаа зовж байна. Ноолуурын үнэ 15 хувиар буурсан нь малчдыг хүнд байдалд оруулж байна.,ikon.mn
95,"Улаанбаатар хотын замын түгжрэл улам бүр даамжирч, зорчих хугацаа өдөрт 551 цаг давж байна.",eagle.mn
96,"Монголын кино үйлдвэрлэл сүүлийн жилүүдэд хөгжиж, олон улсын наадамд шагнал хүртсэн 3286 бүтээл гарлаа.",zorig.mn
97,"БНСУ-д ажиллаж байгаа Монгол иргэдийн цалин өсч, гэр бүлдээ илгээх мөнгөн гуйвуулга 20 тэрбум төгрөгт хүрлээ.",ikon.mn
98,Хүний эрхийн комиссын тайланд дурдсанаар хүүхдийн хөдөлмөр эрхлэлт 44 хувиар өссөн байна.,gogo.mn
99,"Сургуулийн хүчирхийлэл буюу дарамтын тохиолдол 13 хувиар нэмэгдэж, эцэг эхчүүдийн санааг зовоож байна.",news.mn
100,"Эрдэнэт хотод технологийн хотхон нээгдэж, 1203 гаруй залуучуудад ажлын байр бий болголоо.",montsame.mn
101,"Улаанбаатар хотын агаарын бохирдол аюултай түвшинд хүрч, хүүхдийн уушигны өвчлөл 34 хувиар нэмэгдсэн байна.",montsame.mn
102,"Тавантолгойн нүүрсний экспортын хэмжээ 50 сая тоннд хүрч, түүхэн дээд амжилт тогтоолоо.",unuudur.mn
103,Монголын сонгодог урлагийн уран бүтээлчид Европт 417 хотод тоглолт хийж амжилттай өндөрлөлөө.,news.mn
104,Хүний эрхийн комиссын тайланд дурдсанаар хүүхдийн хөдөлмөр эрхлэлт 36 хувиар өссөн байна.,eagle.mn
105,Хөдөө орон нутгийн малчид ноолуурын үнэ унасанд санаа зовж байна. Ноолуурын үнэ 19 хувиар буурсан нь малчдыг хүнд байдалд оруулж байна.,zorig.mn
106,"Улаанбаатар хотын агаарын бохирдол аюултай түвшинд хүрч, хүүхдийн уушигны өвчлөл 41 хувиар нэмэгдсэн байна.",news.mn
107,"Эмэгтэй бөхчүүд Ази тивийн аварга шалгаруулах тэмцээнд түрүүлж, спортын түүхэнд нэрээ үлдээлээ.",news.mn
108,Монголын E-спортын баг Дэлхийн аварга шалгаруулах тэмцээнд шилдэг 3017-д шалгарсан бн.,eagle.mn
109,Төмөр замын шинэ чиглэл ашиглалтад орсон нь экспортын хүчин чадлыг 44 хувиар нэмэгдүүлэх боломжтой боллоо.,montsame.mn
110,"Эрдэнэт хотод технологийн хотхон нээгдэж, 3984 гаруй залуучуудад ажлын байр бий болголоо.",ikon.mn
111,"Сургуулийн хүчирхийлэл буюу дарамтын тохиолдол 37 хувиар нэмэгдэж, эцэг эхчүүдийн санааг зовоож байна.",unuudur.mn
112,Хөдөө орон нутгийн малчид ноолуурын үнэ унасанд санаа зовж бн. Ноолуурын үнэ 18 хувь буурсан нь малчдыг хүнд байдалд оруулж бн.,zorig.mn
113,Монголын блокчэйн стартап компани 100 сая долларын хөрөнгө оруулалт татаж чадлаа.,news.mn
114,Эрүүл мэндийн даатгалын хамрагдалт 31 хувьд хүрсэн ч эмнэлгийн үйлчилгээний хүртээмж муу байсаар байна.,news.mn
115,"Архангай аймагт сүү боловсруулах шинэ үйлдвэр нээгдэж, орон нутгийн малчдын орлого 43 хувиар өсөх төлөвтэй байна.",montsame.mn
116,"Хөдөө аж ахуйн салбарт инноваци нэвтрүүлж, тэжээлийн ургамал тариалалт 50 га-гаар нэмэгдлээ.",ikon.mn
117,"БНСУ-д ажиллаж байгаа Монгол иргэдийн цалин өсч, гэр бүлдээ илгээх мөнгөн гуйвуулга 3.2 тэрбум төгрөгт хүрлээ.",unuudur.mn
118,"БНСУ-д ажиллаж байгаа Монгол иргэдийн цалин өсч, гэр бүлдээ илгээх мөнгөн гуйвуулга 10 тэрбум төгрөгт хүрлээ.",montsame.mn
119,"Хэнтий аймагт алт олборлогчид голын усыг бохирдуулж, иргэдийн эрүүл мэндэд хор хөнөөл учруулж байна. Байгаль орчны хяналт сулдсан.",unuudur.mn
120,Хүний эрхийн комиссын тайланд дурдсанаар хүүхдийн хөдөлмөр эрхлэлт 16 хувиар өссөн байна.,montsame.mn
121,"Метроны барилгын ажил албан ёсоор эхэлж, 2030 онд ашиглалтад ороход түгжрэлийг 7 хувиар бууруулна.",zorig.mn
122,"IT компаниуд олон улсын зах зээлд гарч, програм хангамжийн экспортыг 2415 дахин нэмэгдүүлсэн байна.",gogo.mn
123,"Төв банк инфляцийг 23 хувьд тогтвортой барьж, мөнгөний бодлогоо сайжруулсан нь эерэг үр дүн авчирч байна.",news.mn
124,"Метроны барилгын ажил албан ёсоор эхэлж, 2030 онд ашиглалтад ороход түгжрэлийг 18 хувь бууруулна.",zorig.mn
125,"IT компаниуд олон улсын зах зээлд гарч, програм хангамжийн экспортыг 3791 дахин нэмэгдүүлсэн байна.",unuudur.mn
126,"IT компаниуд олон улсын зах зээлд гарч, програм хангамжийн экспортыг 2091 дахин нэмэгдүүлсэн бн.",eagle.mn
127,"IT компаниуд олон улсын зах зээлд гарч, програм хангамжийн экспортыг 4071 дахин нэмэгдүүлсэн байна.",zorig.mn
128,Хүний эрхийн комиссын тайланд дурдсанаар хүүхдийн хөдөлмөр эрхлэлт 20 хувиар өссөн байна.,montsame.mn
129,"Сургуулийн хүчирхийлэл буюу дарамтын тохиолдол 18 хувиар нэмэгдэж, эцэг эхчүүдийн санааг зовоож байна.",zorig.mn
130,"Эмэгтэй бөхчүүд Ази тивийн аварга шалгаруулах тэмцээнд түрүүлж, спортын түүхэнд нэрээ үлдээлээ.",montsame.mn
131,Төмөр замын шинэ чиглэл ашиглалтад орсон нь экспортын хүчин чадлыг 10 хувиар нэмэгдүүлэх боломжтой боллоо.,eagle.mn
132,Монголын блокчэйн стартап компани 100 сая долларын хөрөнгө оруулалт татаж чадлаа.,eagle.mn
133,"БНСУ-д ажиллаж байгаа Монгол иргэдийн цалин өсч, гэр бүлдээ илгээх мөнгөн гуйвуулга 100 тэрбум төгрөгт хүрлээ.",unuudur.mn
134,"Мал аж ахуйн даатгалын шинэ тогтолцоо нэвтэрч, байгалийн гамшгаар хохирсон малчдад нөхөн олговор олгогдож эхэллээ.",unuudur.mn
135,Хөдөө орон нутгийн малчид ноолуурын үнэ унасанд санаа зовж бн. Ноолуурын үнэ 31 хувь буурсан нь малчдыг хүнд байдалд оруулж бн.,gogo.mn
136,Чингис хаан олон улсын нисэх онгоцны буудал жилд 4632 сая зорчигч хүлээн авч бн.,zorig.mn
137,Эрүүл мэндийн даатгалын хамрагдалт 13 хувьд хүрсэн ч эмнэлгийн үйлчилгээний хүртээмж муу байсаар байна.,gogo.mn
138,Монголын блокчэйн стартап компани 3.2 сая долларын хөрөнгө оруулалт татаж чадлаа.,zorig.mn
139,"Тавантолгойн нүүрсний экспортын хэмжээ 20 сая тоннд хүрч, түүхэн дээд амжилт тогтоолоо.",ikon.mn
140,"Уурхайн бүсэд ажилладаг жолоочид ажлын нөхцөл муу, цалин бага гэж гомдол гарган ажил хаялт зарлалаа.",zorig.mn
141,"Хөдөө аж ахуйн салбарт инноваци нэвтрүүлж, тэжээлийн ургамал тариалалт 3.2 га-гаар нэмэгдлээ.",news.mn
142,"Оюутолгой зэс алтны уурхайн газар доорхи олборлолт амжилттай үргэлжилж, эдийн засагт жилд 1.5 тэрбум долларын орлого авчирна.",eagle.mn
143,Хөдөө орон нутгийн малчид ноолуурын үнэ унасанд санаа зовж байна. Ноолуурын үнэ 6 хувиар буурсан нь малчдыг хүнд байдалд оруулж байна.,news.mn
144,"Төв банк инфляцийг 21 хувьд тогтвортой барьж, мөнгөний бодлогоо сайжруулсан нь эерэг үр дүн авчирч байна.",ikon.mn
145,"Дорноговь аймагт алт олборлогчид голын усыг бохирдуулж, иргэдийн эрүүл мэндэд хор хөнөөл учруулж байна. Байгаль орчны хяналт сулдсан.",unuudur.mn
146,"Мал аж ахуйн даатгалын шинэ тогтолцоо нэвтэрч, байгалийн гамшгаар хохирсон малчдад нөхөн олговор олгогдож эхэллээ.",gogo.mn
147,"Уул уурхайн салбарт осол гарч, 4534 ажилтан гэмтсэн байна. Хөдөлмөрийн аюулгүй байдлын стандартыг чангатгах шаардлагатай.",eagle.mn
148,"Оюутолгой зэс алтны уурхайн газар доорхи олборлолт амжилттай үргэлжилж, эдийн засагт жилд 3.2 тэрбум долларын орлого авчирна.",zorig.mn
149,"Уул уурхайн салбарт осол гарч, 2918 ажилтан гэмтсэн байна. Хөдөлмөрийн аюулгүй байдлын стандартыг чангатгах шаардлагатай.",news.mn
150,"Хотын нийтийн тээврийн автобусууд цахилгаан автобусаар солигдож, утааны бохирдол багассан байна. 2 цахилгаан автобус замд гарлаа.",ikon.mn
151,"Төв банк инфляцийг 40 хувьд тогтвортой барьж, мөнгөний бодлогоо сайжруулсан нь эерэг үр дүн авчирч бн.",montsame.mn
152,Монголын сонгодог урлагийн уран бүтээлчид Европт 4398 хотод тоглолт хийж амжилттай өндөрлөлөө.,eagle.mn
153,"Газрын тосны үнэ дэлхийн зах зээл дээр огцом өсч, дотоодын шатахууны үнэ 41 хувиар нэмэгдлээ. Тээврийн зардал ихэссэн.",eagle.mn
154,Монголын E-спортын баг Дэлхийн аварга шалгаруулах тэмцээнд шилдэг 3020-д шалгарсан байна.,zorig.mn
155,"Дархан-Уул аймагт ноцтой үер бууж, 4080 гаруй гэр барилга усанд автсан. Онцгой байдлын алба ажиллаж байна.",eagle.mn
156,"Тавантолгойн нүүрсний экспортын хэмжээ 2.5 сая тоннд хүрч, түүхэн дээд амжилт тогтоолоо.",news.mn
157,"Улаанбаатар хотын замын түгжрэл улам бүр даамжирч, зорчих хугацаа өдөрт 3758 цаг давж байна.",unuudur.mn
158,Хөдөө орон нутгийн малчид ноолуурын үнэ унасанд санаа зовж байна. Ноолуурын үнэ 26 хувиар буурсан нь малчдыг хүнд байдалд оруулж байна.,montsame.mn
159,"Эрдэнэт хотод технологийн хотхон нээгдэж, 2074 гаруй залуучуудад ажлын байр бий болголоо.",montsame.mn
160,"Метроны барилгын ажил албан ёсоор эхэлж, 2030 онд ашиглалтад ороход түгжрэлийг 45 хувиар бууруулна.",montsame.mn
161,"Метроны барилгын ажил албан ёсоор эхэлж, 2030 онд ашиглалтад ороход түгжрэлийг 8 хувиар бууруулна.",zorig.mn
162,"Эмэгтэй бөхчүүд Ази тивийн аварга шалгаруулах тэмцээнд түрүүлж, спортын түүхэнд нэрээ үлдээлээ.",gogo.mn
163,"Уул уурхайн салбарт осол гарч, 3656 ажилтан гэмтсэн байна. Хөдөлмөрийн аюулгүй байдлын стандартыг чангатгах шаардлагатай.",unuudur.mn
164,"IT компаниуд олон улсын зах зээлд гарч, програм хангамжийн экспортыг 4860 дахин нэмэгдүүлсэн байна.",ikon.mn
165,Монголын сонгодог урлагийн уран бүтээлчид Европт 1151 хотод тоглолт хийж амжилттай өндөрлөлөө.,news.mn
166,Цэцэрлэгийн хүчин чадал хүрэлцэхгүй байгаа тул 79 мянган хүүхэд гэртээ цоожлогдож үлдэж бн.,ikon.mn
167,"Ховд аймагт сүү боловсруулах шинэ үйлдвэр нээгдэж, орон нутгийн малчдын орлого 19 хувиар өсөх төлөвтэй байна.",news.mn
168,"Уул уурхайн салбарт осол гарч, 1891 ажилтан гэмтсэн байна. Хөдөлмөрийн аюулгүй байдлын стандартыг чангатгах шаардлагатай.",news.mn
169,Монголын анхны хиймэл дагуул хөөргөгдсөн нь сансрын технологийн салбарт түүхэн алхам боллоо.,news.mn
170,"Уул уурхайн салбарт осол гарч, 2492 ажилтан гэмтсэн бн. Хөдөлмөрийн аюулгүй байдлын стандартыг чангатгах шаардлагатай.",unuudur.mn
171,"Монгол Улсын эдийн засаг энэ онд 44 хувь өсч, Сангийн яам энэ ахиц дэвшлийг өндрөөр үнэлж бн.",montsame.mn
172,"Сургуулийн хүчирхийлэл буюу дарамтын тохиолдол 11 хувиар нэмэгдэж, эцэг эхчүүдийн санааг зовоож байна.",ikon.mn
173,"Сургуулийн хүчирхийлэл буюу дарамтын тохиолдол 34 хувь нэмэгдэж, эцэг эхчүүдийн санааг зовоож бн.",unuudur.mn
174,Монголын анхны хиймэл дагуул хөөргөгдсөн нь сансрын технологийн салбарт түүхэн алхам боллоо.,unuudur.mn
175,Монголын E-спортын баг Дэлхийн аварга шалгаруулах тэмцээнд шилдэг 4962-д шалгарсан байна.,unuudur.mn
176,"Хэнтий аймагт зургадугаар сард хүчтэй шороон шуурга шуурч, 4839 айлын амьдрал доройтсон.",ikon.mn
177,Монголын анхны хиймэл дагуул хөөргөгдсөн нь сансрын технологийн салбарт түүхэн алхам боллоо.,zorig.mn
178,"Оюутолгой зэс алтны уурхайн газар доорхи олборлолт амжилттай үргэлжилж, эдийн засагт жилд 1.5 тэрбум долларын орлого авчирна.",eagle.mn
179,"Хүүхдийн ядуурлын түвшин 14 хувьд хүрч, олон улсын байгууллагууд анхааруулга өгч байна.",unuudur.mn
180,Цэцэрлэгийн хүчин чадал хүрэлцэхгүй байгаа тул 507 мянган хүүхэд гэртээ цоожлогдож үлдэж байна.,zorig.mn
181,"Сэлэнгэ аймагт сүү боловсруулах шинэ үйлдвэр нээгдэж, орон нутгийн малчдын орлого 9 хувиар өсөх төлөвтэй байна.",gogo.mn
182,Монголын блокчэйн стартап компани 1.5 сая долларын хөрөнгө оруулалт татаж чадлаа.,montsame.mn
183,"Төв банк инфляцийг 3 хувьд тогтвортой барьж, мөнгөний бодлогоо сайжруулсан нь эерэг үр дүн авчирч байна.",news.mn
184,Эрүүл мэндийн даатгалын хамрагдалт 41 хувьд хүрсэн ч эмнэлгийн үйлчилгээний хүртээмж муу байсаар байна.,gogo.mn
